"type","index_title","index_name","index_sort","operations","set"
"all","Record Identifier (MMS ID)","id",,"relation:<|relation:<=|relation:<>|relation:=|relation:==|relation:>|relation:>=|relation:all","rec"
"electronic_collection","Activate From","activateFrom",,"emptyTerm|relation:<|relation:<>|relation:=|relation:==|relation:>|relation:all","alma"
"electronic_collection","Activate To","activateTo",,"emptyTerm|relation:<|relation:<>|relation:=|relation:==|relation:>|relation:all","alma"
"electronic_collection","Activation Date (Electronic Collection)","iepa_activationDate",,"emptyTerm|relation:<|relation:<>|relation:=|relation:==|relation:>|relation:all","alma"
"electronic_collection","Authentication note (Electronic Collection)","iepa_authenticationNote",,"emptyTerm|relation:=|relation:==|relation:all","alma"
"electronic_collection","Availability (Electronic Collection)","pps_baseStatus",,"emptyTerm|relation:<>|relation:=|relation:==|relation:all","alma"
"electronic_collection","Available for","package_available_for",,"emptyTerm|relation:<>|relation:=|relation:==|relation:all","alma"
"electronic_collection","Available for","package_available_only_for",,"emptyTerm|relation:<>|relation:=|relation:==|relation:all","alma"
"electronic_collection","c.search.index_names.iepaLibrary","iepa_Library",,"emptyTerm|relation:=|relation:==|relation:all","alma"
"electronic_collection","Category","category",,"emptyTerm|relation:=|relation:all","alma"
"electronic_collection","CDI Collection ID (DB ID)","db_id",,"relation:=|relation:==|relation:all","alma"
"electronic_collection","CDI Fulltext Linking","iepa_cdi_linking",,"relation:=|relation:==|relation:all","alma"
"electronic_collection","CDI Fulltext rights","iepa_cdi_fulltext_rights",,"relation:=|relation:==|relation:all","alma"
"electronic_collection","CDI Newspapers","iepa_cdi_newspaper_search",,"relation:=|relation:==|relation:all","alma"
"electronic_collection","CDI Provider Coverage","iepa_cdi_provider_coverage",,"relation:=|relation:==|relation:all","alma"
"electronic_collection","CDI Search rights","iepa_cdi_search_rights",,"relation:=|relation:==|relation:all","alma"
"electronic_collection","CDI Suppress Full Text","iepa_suppressFromCdi",,"relation:=|relation:==|relation:all","alma"
"electronic_collection","CDI Type","iepa_cdi_type",,"relation:=|relation:==|relation:all","alma"
"electronic_collection","CDI-only full text activation","cdi_delivery",,"relation:=|relation:==|relation:all","alma"
"electronic_collection","Collection Access Type","iepa_accessType",,"emptyTerm|relation:=|relation:==|relation:all","alma"
"electronic_collection","Collection available explicitly for group","coll_available_only_for_group",,"emptyTerm|relation:<>|relation:=|relation:==|relation:all","alma"
"electronic_collection","Collection Available for group","coll_available_for_group",,"emptyTerm|relation:<>|relation:=|relation:==|relation:all","alma"
"electronic_collection","Collection PO Line ID","iepa_POLineID",,"emptyTerm|relation:=|relation:all","alma"
"electronic_collection","Contributed By (Electronic Collection)","iepa_contributedBy",,"emptyTerm|relation:=|relation:all","alma"
"electronic_collection","Creation Date (Electronic Collection)","package_creation_date",,"emptyTerm|relation:<|relation:<>|relation:=|relation:==|relation:>|relation:all","alma"
"electronic_collection","Creator Name (Electronic Collection)","creatorName",,"emptyTerm|relation:=|relation:all","alma"
"electronic_collection","Crossref enabled","crossrefenabled",,"emptyTerm|relation:<>|relation:=|relation:==|relation:all","alma"
"electronic_collection","Electronic Collection Content Type","packageType",,"emptyTerm|relation:<>|relation:=|relation:==|relation:all","alma"
"electronic_collection","Electronic Collection ID","iepa_pid",,"relation:<|relation:<=|relation:<>|relation:=|relation:==|relation:>|relation:>=|relation:all","alma"
"electronic_collection","Electronic Collection Name","packageName",,"emptyTerm|relation:=|relation:==|relation:all","alma"
"electronic_collection","Electronic Collection Type","aggregator",,"emptyTerm|relation:<>|relation:=|relation:==|relation:all","alma"
"electronic_collection","Electronic Location And Note","elocation",,"emptyTerm|relation:=|relation:==|relation:all","alma"
"electronic_collection","Free (Electronic Collection)","iepa_isFree",,"emptyTerm|relation:=|relation:==|relation:all","alma"
"electronic_collection","Interface Name (Electronic Collection)","interfaceName",,"emptyTerm|relation:=|relation:all","alma"
"electronic_collection","Internal Description (Electronic Collection)","internalDescription",,"emptyTerm|relation:=|relation:==|relation:all","alma"
"electronic_collection","Is Local (Electronic Collection)","iepa_is_local",,"emptyTerm|relation:=|relation:==|relation:all","alma"
"electronic_collection","Language (Electronic Collection)","iepa_language",,"emptyTerm|relation:<>|relation:=|relation:==|relation:all","alma"
"electronic_collection","Link Resolver Plugin","linkResolverPlugin",,"emptyTerm|relation:<>|relation:=|relation:==|relation:all","alma"
"electronic_collection","Linking Level","linkingLevel",,"emptyTerm|relation:<>|relation:=|relation:==|relation:all","alma"
"electronic_collection","Managed by Provider (Electronic Collection)","tps_managed_by",,"relation:=|relation:==|relation:all","alma"
"electronic_collection","Management level in Community Zone (Electronic Collection)","iepa_managementLevel",,"relation:=|relation:==|relation:all","alma"
"electronic_collection","Modification Date (Electronic Collection)","package_modification_date",,"emptyTerm|relation:<|relation:<>|relation:=|relation:==|relation:>|relation:all","alma"
"electronic_collection","Notes tab - General Notes (Electronic Collection)","iepa_generalNote",,"emptyTerm|relation:=|relation:all","alma"
"electronic_collection","Provider Collection ID","iepa_providerCollectionId",,"emptyTerm|relation:=|relation:==|relation:all","alma"
